
SET IDENTITY_INSERT [dbo].[Building] ON 

INSERT [dbo].[Building] ([BuildingID], [BuildingName], [BuildingDescription], [BuildingPicture], [BuildingCode]) VALUES (1, N'An Lạc', N'Nằm giữa một khu vườn yên tĩnh với những hàng cây xanh mát, An Lạc mang đến một không gian thanh bình và ấm cúng. Thiết kế kiến trúc hiện đại với những đường nét đơn giản, kết hợp hài hòa với thiên nhiên xung quanh.', N'https://i.ibb.co/JrqjRCn/Screenshot-2024-06-19-134117.png', 'AL')
INSERT [dbo].[Building] ([BuildingID], [BuildingName], [BuildingDescription], [BuildingPicture],[BuildingCode]) VALUES (2, N'An Viên', N'An Viên mang đậm nét kiến trúc truyền thống với những mái ngói cong và những chi tiết chạm khắc tinh xảo. Không gian bên trong được bài trí trang trọng và ấm cúng, gợi nhớ về những giá trị văn hóa sâu sắc.', N'https://i.ibb.co/JrqjRCn/Screenshot-2024-06-19-134117.png', 'AV')
SET IDENTITY_INSERT [dbo].[Building] OFF


INSERT INTO [dbo].[Floor] (BuildingID, FloorName, FloorDescription, FloorCode)
VALUES 
-- An Lạc Building (ID 1)
(1, N'Tầng 1', N'Mô tả tầng 1' , N'AL-F1'),
(14, N'Khu 1', N'Mô tả khu 1' , N'AV-F7-A1'),
(14, N'Khu 2', N'Mô tả khu 2' , N'AV-F7-A2'),
(14, N'Khu 3', N'Mô tả khu 3' , N'AV-F7-A3'),
(14, N'Khu 4', N'Mô tả khu 4' , N'AV-F7-A4'),
(14, N'Khu 5', N'Mô tả khu 5' , N'AV-F7-A5'),
(14, N'Khu 6', N'Mô tả khu 6' , N'AV-F7-A6'),
(14, N'Khu 7', N'Mô tả khu 7' , N'AV-F7-A7'),
(14, N'Khu 8', N'Mô tả khu 8' , N'AV-F7-A8');

SET IDENTITY_INSERT [dbo].[Niche] ON 

INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1, 1, N'101', N'Available', NULL, NULL, NULL, N'AL-F1-A1-101')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (2, 1, N'102', N'Available', NULL, NULL, NULL, N'AL-F1-A1-102')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (3, 1, N'103', N'Available', NULL, NULL, NULL, N'AL-F1-A1-103')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4, 1, N'104', N'Available', NULL, NULL, NULL, N'AL-F1-A1-104')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (5, 1, N'105', N'Available', NULL, NULL, NULL, N'AL-F1-A1-105')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (6, 1, N'106', N'Available', NULL, NULL, NULL, N'AL-F1-A1-106')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (7, 1, N'107', N'Available', NULL, NULL, NULL, N'AL-F1-A1-107')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (8, 1, N'108', N'Available', NULL, NULL, NULL, N'AL-F1-A1-108')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (9, 1, N'109', N'Available', NULL, NULL, NULL, N'AL-F1-A1-109')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (10, 1, N'110', N'Available', NULL, NULL, NULL, N'AL-F1-A1-110')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (11, 1, N'111', N'Available', NULL, NULL, NULL, N'AL-F1-A1-111')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (12, 1, N'112', N'Available', NULL, NULL, NULL, N'AL-F1-A1-112')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (13, 1, N'113', N'Available', NULL, NULL, NULL, N'AL-F1-A1-113')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (14, 1, N'114', N'Available', NULL, NULL, NULL, N'AL-F1-A1-114')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (15, 1, N'115', N'Available', NULL, NULL, NULL, N'AL-F1-A1-115')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (16, 1, N'116', N'Available', NULL, NULL, NULL, N'AL-F1-A1-116')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (17, 1, N'117', N'Available', NULL, NULL, NULL, N'AL-F1-A1-117')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (18, 1, N'118', N'Available', NULL, NULL, NULL, N'AL-F1-A1-118')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (19, 1, N'119', N'Available', NULL, NULL, NULL, N'AL-F1-A1-119')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (20, 1, N'120', N'Available', NULL, NULL, NULL, N'AL-F1-A1-120')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (21, 1, N'201', N'Available', NULL, NULL, NULL, N'AL-F1-A1-201')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (22, 1, N'202', N'Available', NULL, NULL, NULL, N'AL-F1-A1-202')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (23, 1, N'203', N'Available', NULL, NULL, NULL, N'AL-F1-A1-203')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (24, 1, N'204', N'Available', NULL, NULL, NULL, N'AL-F1-A1-204')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (25, 1, N'205', N'Available', NULL, NULL, NULL, N'AL-F1-A1-205')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (26, 1, N'206', N'Available', NULL, NULL, NULL, N'AL-F1-A1-206')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (27, 1, N'207', N'Available', NULL, NULL, NULL, N'AL-F1-A1-207')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (28, 1, N'208', N'Available', NULL, NULL, NULL, N'AL-F1-A1-208')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (29, 1, N'209', N'Available', NULL, NULL, NULL, N'AL-F1-A1-209')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (30, 1, N'210', N'Available', NULL, NULL, NULL, N'AL-F1-A1-210')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (31, 1, N'211', N'Available', NULL, NULL, NULL, N'AL-F1-A1-211')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (32, 1, N'212', N'Available', NULL, NULL, NULL, N'AL-F1-A1-212')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (33, 1, N'213', N'Available', NULL, NULL, NULL, N'AL-F1-A1-213')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (34, 1, N'214', N'Available', NULL, NULL, NULL, N'AL-F1-A1-214')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (35, 1, N'215', N'Available', NULL, NULL, NULL, N'AL-F1-A1-215')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (36, 1, N'216', N'Available', NULL, NULL, NULL, N'AL-F1-A1-216')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (37, 1, N'217', N'Available', NULL, NULL, NULL, N'AL-F1-A1-217')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (38, 1, N'218', N'Available', NULL, NULL, NULL, N'AL-F1-A1-218')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (39, 1, N'219', N'Available', NULL, NULL, NULL, N'AL-F1-A1-219')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (40, 1, N'220', N'Available', NULL, NULL, NULL, N'AL-F1-A1-220')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (41, 1, N'301', N'Available', NULL, NULL, NULL, N'AL-F1-A1-301')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (42, 1, N'302', N'Available', NULL, NULL, NULL, N'AL-F1-A1-302')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (43, 1, N'303', N'Available', NULL, NULL, NULL, N'AL-F1-A1-303')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (44, 1, N'304', N'Available', NULL, NULL, NULL, N'AL-F1-A1-304')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (45, 1, N'305', N'Available', NULL, NULL, NULL, N'AL-F1-A1-305')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (46, 1, N'306', N'Available', NULL, NULL, NULL, N'AL-F1-A1-306')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (47, 1, N'307', N'Available', NULL, NULL, NULL, N'AL-F1-A1-307')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (48, 1, N'308', N'Available', NULL, NULL, NULL, N'AL-F1-A1-308')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (49, 1, N'309', N'Available', NULL, NULL, NULL, N'AL-F1-A1-309')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (50, 1, N'310', N'Available', NULL, NULL, NULL, N'AL-F1-A1-310')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (51, 1, N'311', N'Available', NULL, NULL, NULL, N'AL-F1-A1-311')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (52, 1, N'312', N'Available', NULL, NULL, NULL, N'AL-F1-A1-312')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (53, 1, N'313', N'Available', NULL, NULL, NULL, N'AL-F1-A1-313')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (54, 1, N'314', N'Available', NULL, NULL, NULL, N'AL-F1-A1-314')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (55, 1, N'315', N'Available', NULL, NULL, NULL, N'AL-F1-A1-315')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (56, 1, N'316', N'Available', NULL, NULL, NULL, N'AL-F1-A1-316')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (57, 1, N'317', N'Available', NULL, NULL, NULL, N'AL-F1-A1-317')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (58, 1, N'318', N'Available', NULL, NULL, NULL, N'AL-F1-A1-318')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (59, 1, N'319', N'Available', NULL, NULL, NULL, N'AL-F1-A1-319')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (60, 1, N'320', N'Available', NULL, NULL, NULL, N'AL-F1-A1-320')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (61, 1, N'401', N'Available', NULL, NULL, NULL, N'AL-F1-A1-401')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (62, 1, N'402', N'Available', NULL, NULL, NULL, N'AL-F1-A1-402')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (63, 1, N'403', N'Available', NULL, NULL, NULL, N'AL-F1-A1-403')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (64, 1, N'404', N'Available', NULL, NULL, NULL, N'AL-F1-A1-404')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (65, 1, N'405', N'Available', NULL, NULL, NULL, N'AL-F1-A1-405')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (66, 1, N'406', N'Available', NULL, NULL, NULL, N'AL-F1-A1-406')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (67, 1, N'407', N'Available', NULL, NULL, NULL, N'AL-F1-A1-407')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (68, 1, N'408', N'Available', NULL, NULL, NULL, N'AL-F1-A1-408')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (69, 1, N'409', N'Available', NULL, NULL, NULL, N'AL-F1-A1-409')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (70, 1, N'410', N'Available', NULL, NULL, NULL, N'AL-F1-A1-410')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (71, 1, N'411', N'Available', NULL, NULL, NULL, N'AL-F1-A1-411')
